case_id,edema_center_x,edema_center_y,edema_radius,sigma_fat_10khz,sigma_muscle_10khz,sigma_edema_10khz,delta_sigma_10khz,edema_elements,dv_shape,J_shape,best_epoch,best_loss,final_supervised_loss,final_data_loss,final_smoothness_loss,pred_delta_min,pred_delta_max,pred_delta_mean
case_022_v2,-0.7875961661338806,0.4349869191646576,0.036240949998836584,0.02324512042105198,0.3083014488220215,0.0498475655913353,0.026602445170283318,9,"(1040,)","(1040, 7901)",19999,9.404353562558754e-08,7.109763082088771e-13,2.6931474828018054e-09,5.417314810074458e-07,0.0,0.026602445170283318,3.0317176424432546e-05
case_023_v2,-0.8339318037033081,0.3330387771129608,0.03900463494637841,0.02278756909072399,0.37067487835884094,0.0463150218129158,0.02352745272219181,12,"(1040,)","(1040, 7901)",13857,0.0005011343746446073,7.706564701948082e-07,8.933541018052438e-09,7.048727184155723e-07,0.0,0.02352745272219181,6.854149978607893e-05
case_024_v2,-0.8811647891998291,0.187665194272995,0.03710373633497917,0.0229243915528059,0.3366658389568329,0.041291363537311554,0.018366971984505653,13,"(1040,)","(1040, 7901)",19640,0.0003332097257953137,5.123591790834325e-07,1.9307597742823646e-09,4.306330083636567e-07,0.0,0.018366971984505653,5.8123052440350875e-05
case_025_v2,-0.9021185636520386,0.09514705091714859,0.03661611418933845,0.021042756736278534,0.35257092118263245,0.04366222769021988,0.022619470953941345,12,"(1040,)","(1040, 7901)",6486,0.0003368383040651679,5.189011176298663e-07,2.185896796902398e-09,5.773121642960177e-07,0.0,0.022619470953941345,5.791657531517558e-05
case_026_v2,-0.9048343896865845,0.014134331606328487,0.039757083392340735,0.021598156541585922,0.30929726362228394,0.04616091027855873,0.02456275373697281,14,"(1040,)","(1040, 7901)",19228,0.0004965870757587254,7.636111263309431e-07,1.6036752370496288e-08,8.213951332436409e-07,0.0,0.02456275373697281,7.462020585080609e-05
case_027_v2,-0.8787761330604553,-0.16096770763397217,0.03746911726373028,0.021875331178307533,0.3418563902378082,0.04343147575855255,0.021556144580245018,12,"(1040,)","(1040, 7901)",4576,1.7657150237937458e-05,3.4499123557907296e-08,2.895977679884254e-09,3.253339002640132e-07,0.0,0.02155614271759987,3.478323560557328e-05
case_028_v2,-0.8636607527732849,-0.2514464855194092,0.04278287540579674,0.022533653303980827,0.3743932545185089,0.04923679307103157,0.026703139767050743,14,"(1040,)","(1040, 7901)",19961,0.0008802285301499069,1.3537377299144282e-06,5.0722825939431004e-09,1.1525169156811899e-06,0.0,0.026703139767050743,9.802634303923696e-05
case_029_v2,-0.8577739000320435,-0.2907264232635498,0.03893690773884297,0.024072008207440376,0.35184982419013977,0.044506244361400604,0.020434236153960228,14,"(1040,)","(1040, 7901)",19990,0.000274992169579491,4.2279464196326444e-07,5.2825104290832314e-09,5.677194963027432e-07,0.0,0.020434236153960228,5.692234117304906e-05
case_030_v2,-0.8082267642021179,-0.40030795335769653,0.03768902462236609,0.021647270768880844,0.31511491537094116,0.04868372157216072,0.027036450803279877,10,"(1040,)","(1040, 7901)",4832,0.0007812708499841392,1.2048969892930472e-06,6.55003118410491e-09,1.1020387091775774e-06,0.0,0.027036450803279877,8.0030360550154e-05
case_031_v2,-0.7078539133071899,-0.5539163947105408,0.04251111779303514,0.02454025112092495,0.3201371729373932,0.0439278781414032,0.01938762702047825,14,"(1040,)","(1040, 7901)",4516,0.0004628265742212534,7.158712946875312e-07,2.5728468244778924e-09,4.911975679533498e-07,0.0,0.01938762702047825,7.177979568950832e-05
case_032_v2,-0.6422134637832642,-0.6316739320755005,0.03682748756942797,0.020610634237527847,0.3224017322063446,0.04229779914021492,0.021687164902687073,11,"(1040,)","(1040, 7901)",17287,0.0005032223416492343,7.738677254565118e-07,1.1657790288666092e-08,5.60152670914249e-07,0.0,0.021687164902687073,6.588757241843268e-05
case_033_v2,-0.5429928302764893,-0.7111316323280334,0.0369658662733597,0.023717001080513,0.34635940194129944,0.04291835054755211,0.01920134946703911,12,"(1040,)","(1040, 7901)",19973,0.0003641580988187343,5.599681571766268e-07,3.866897912985223e-09,4.391408481296821e-07,0.0,0.01920134946703911,5.8336456277174875e-05
case_034_v2,-0.4832451343536377,-0.7603832483291626,0.04494296319145374,0.024782251566648483,0.3338482975959778,0.04384226351976395,0.019060011953115463,15,"(1040,)","(1040, 7901)",16415,0.0002691335685085505,4.138084648275253e-07,2.4463613357283975e-09,4.299780016481236e-07,0.0,0.019060011953115463,5.799173595733009e-05
case_035_v2,-0.3771597146987915,-0.8177621364593506,0.04450962667521628,0.021854912862181664,0.3697874844074249,0.04132101684808731,0.019466103985905647,16,"(1040,)","(1040, 7901)",19921,0.0005925737787038088,9.112346219808387e-07,1.2653718073352138e-08,6.770617346774088e-07,0.0,0.019466103985905647,8.624373731436208e-05
case_036_v2,-0.2679852247238159,-0.8620736002922058,0.04201072402332938,0.021187791600823402,0.33531635999679565,0.04991762712597847,0.028729835525155067,14,"(1040,)","(1040, 7901)",19765,0.0006113959825597703,9.402147043147124e-07,5.5586766301019e-09,1.0535923138377257e-06,0.0,0.028729835525155067,8.364442328456789e-05
case_037_v2,-0.1352304220199585,-0.8913381099700928,0.03848961112949651,0.020628442987799644,0.3141869008541107,0.04866834357380867,0.028039900586009026,13,"(1040,)","(1040, 7901)",8105,0.0009115227148868144,1.6655809531584964e-06,4.507393569497253e-09,9.814933719098917e-07,0.0,0.028039900586009026,9.459658031119034e-05
case_038_v2,-0.06588779389858246,-0.8981088399887085,0.04061276065110774,0.023314068093895912,0.3658972978591919,0.04660157486796379,0.02328750677406788,14,"(1040,)","(1040, 7901)",19783,0.0004909884883090854,7.55017197207053e-07,6.27597263047619e-09,7.844869287509937e-07,0.0,0.02328750677406788,7.369371451204643e-05
case_039_v2,0.028634540736675262,-0.9039667844772339,0.03854993544496372,0.023523718118667603,0.3658803701400757,0.04523898661136627,0.02171526849269867,9,"(1040,)","(1040, 7901)",19738,0.0002716872841119766,4.177828429874353e-07,3.710146856406027e-09,5.613682674265874e-07,0.0,0.02171526849269867,4.399908721097745e-05
