case_id,edema_center,edema_radius,sigma_fat_curve,sigma_muscle_curve,sigma_edema_curve,sigma_fat,sigma_muscle,sigma_edema,delta_sigma_max,fat_scale,muscle_scale,edema_scale,estimated_edema_elements,inner_clearance,outer_clearance
case_011_v2,"(0.3102928400039673, 0.8480920195579529)",0.04112792965586955,"[0.021934837102890015, 0.023295314982533455, 0.02345672808587551, 0.02355184592306614, 0.023621022701263428, 0.023675788193941116]","[0.30884772539138794, 0.3188064694404602, 0.32789528369903564, 0.3376818597316742, 0.34803929924964905, 0.3585054874420166]","[0.045082103461027145, 0.04787826165556908, 0.04821000620722771, 0.04840550199151039, 0.04854767769575119, 0.04866023734211922]",0.021934837102890015,0.30884772539138794,0.045082103461027145,0.02314726635813713,0.9607900196125225,0.9061635669135879,0.9873434778464725,15,0.06166058741880853,0.05614415060879363
case_012_v2,"(0.19214721024036407, 0.8794957399368286)",0.044928747720903425,"[0.02161516807973385, 0.022955819964408875, 0.023114878684282303, 0.023208612576127052, 0.023276779800653458, 0.023330748081207275]","[0.3107212781906128, 0.32074040174484253, 0.3298843502998352, 0.33973029255867004, 0.35015058517456055, 0.3606802523136139]","[0.04366359859704971, 0.04637177288532257, 0.04669307917356491, 0.046882424503564835, 0.04702012613415718, 0.04712914302945137]",0.02161516807973385,0.3107212781906128,0.04366359859704971,0.022048430517315865,0.9467878971730682,0.9116605483378132,0.9562767784043994,16,0.05511625370857132,0.055092448263267646
case_013_v2,"(0.02136853151023388, 0.8926812410354614)",0.037504593798615565,"[0.02412627823650837, 0.02562267892062664, 0.02580021694302559, 0.025904839858412743, 0.025980927050113678, 0.026041163131594658]","[0.35203057527542114, 0.3633817434310913, 0.37374135851860046, 0.38489627838134766, 0.3967018723487854, 0.40863144397735596]","[0.044805124402046204, 0.04758410155773163, 0.047913808375597, 0.04810810461640358, 0.04824940487742424, 0.04836127161979675]",0.02412627823650837,0.35203057527542114,0.044805124402046204,0.020678846165537834,1.0567796418212827,1.0328627080654775,0.9812773722880141,11,0.05534172746873833,0.06970434369896938
case_014_v2,"(-0.017727047204971313, 0.8981766700744629)",0.042515671626550455,"[0.020958159118890762, 0.022258060052990913, 0.022412285208702087, 0.022503169253468513, 0.022569265216588974, 0.02262159250676632]","[0.3559873402118683, 0.3674660921096802, 0.37794214487075806, 0.3892224431037903, 0.40116074681282043, 0.41322439908981323]","[0.045311860740184784, 0.04812226817011833, 0.04845570772886276, 0.048652198165655136, 0.048795100301504135, 0.04890822991728783]",0.020958159118890762,0.3559873402118683,0.045311860740184784,0.02435370162129402,0.9180095721551284,1.04447187011929,0.9923754460502775,14,0.055766327694523166,0.059264971072103934
case_015_v2,"(-0.14613507688045502, 0.887934684753418)",0.04445423889678333,"[0.02372639998793602, 0.025197995826601982, 0.025372592732310295, 0.025475481525063515, 0.02555030584335327, 0.025609545409679413]","[0.337159663438797, 0.34803131222724915, 0.3579533100128174, 0.3686370253562927, 0.37994393706321716, 0.3913695514202118]","[0.04457348585128784, 0.0473380945622921, 0.047666098922491074, 0.04785938933491707, 0.04799995943903923, 0.04811124876141548]",0.02372639998793602,0.337159663438797,0.04457348585128784,0.020847085863351822,1.0392640750155473,0.9892312551148061,0.9762042452192965,16,0.05541862460219538,0.05573839588295326
case_016_v2,"(-0.32345274090766907, 0.8459154963493347)",0.038988049421892795,"[0.020947210490703583, 0.022246431559324265, 0.02240057662129402, 0.022491414099931717, 0.022557474672794342, 0.02260977402329445]","[0.3147909939289093, 0.32494136691093445, 0.33420509099960327, 0.34417998790740967, 0.3547367453575134, 0.365404337644577]","[0.04987804964184761, 0.05297166854143143, 0.053338706493377686, 0.05355500057339668, 0.05371230095624924, 0.05383683368563652]",0.020947210490703583,0.3147909939289093,0.04987804964184761,0.028930839151144028,0.9175299838632203,0.9236011804241031,1.092379532909903,13,0.06670895478608141,0.05537239083866907
case_017_v2,"(-0.3622802197933197, 0.8313716053962708)",0.036445864432302494,"[0.024102775380015373, 0.025597717612981796, 0.025775082409381866, 0.025879602879285812, 0.02595561556518078, 0.026015793904662132]","[0.3556145131587982, 0.3670812249183655, 0.3775463104248047, 0.3888148069381714, 0.4007406234741211, 0.4127916395664215]","[0.04519756883382797, 0.04800088703632355, 0.04833348095417023, 0.048529479652643204, 0.048672016710042953, 0.04878486692905426]",0.024102775380015373,0.3556145131587982,0.04519756883382797,0.0210947934538126,1.055750180793159,1.0433780378317992,0.9898723004287577,11,0.07049043523579912,0.056671534746901564
case_018_v2,"(-0.4925219714641571, 0.7594786882400513)",0.037651591744088476,"[0.022628074511885643, 0.02403154969215393, 0.02419806458055973, 0.024296190589666367, 0.024367552250623703, 0.024424048140645027]","[0.32054129242897034, 0.3308770954608917, 0.3403100371360779, 0.35046714544296265, 0.3612167239189148, 0.37207919359207153]","[0.043887995183467865, 0.046610087156295776, 0.046933047473430634, 0.047123365104198456, 0.04726177453994751, 0.04737135022878647]",0.022628074511885643,0.32054129242897034,0.043887995183467865,0.021259920671582222,0.9911552579667222,0.9404726729590461,0.9611913248301306,13,0.06763702393171278,0.05711526792984811
case_019_v2,"(-0.5848913788795471, 0.6844382286071777)",0.04376146953369103,"[0.024010401219129562, 0.02549961395561695, 0.025676298886537552, 0.025780418887734413, 0.0258561410009861, 0.02591608837246895]","[0.3557899296283722, 0.3672623038291931, 0.3777325451374054, 0.3890065848827362, 0.4009382724761963, 0.41299524903297424]","[0.04503987357020378, 0.047833409160375595, 0.04816484451293945, 0.04836016148328781, 0.048502203077077866, 0.04861465469002724]",0.024010401219129562,0.3557899296283722,0.04503987357020378,0.02102947235107422,1.051703905967042,1.0438925911901875,0.9864186079550208,16,0.05665161015321263,0.05588992834104278
case_020_v2,"(-0.6529669761657715, 0.614013671875)",0.039947918184991785,"[0.020932573825120926, 0.022230887785553932, 0.022384924814105034, 0.022475697100162506, 0.02254171296954155, 0.02259397692978382]","[0.3350909352302551, 0.3458958864212036, 0.3557569980621338, 0.3663751482963562, 0.3776126503944397, 0.38896819949150085]","[0.04147401824593544, 0.04404639080166817, 0.04435158520936966, 0.044531434774398804, 0.0446622297167778, 0.04476578161120415]",0.020932573825120926,0.3350909352302551,0.04147401824593544,0.020541444420814514,0.9168888642279779,0.983161480434122,0.9083228347723785,12,0.056468802562471776,0.06369421979382839
case_021_v2,"(-0.7550529837608337, 0.4889627993106842)",0.04371591709550593,"[0.021019138395786285, 0.022322820499539375, 0.022477494552731514, 0.02256864309310913, 0.022634930908679962, 0.022687410935759544]","[0.3468043804168701, 0.35798701643943787, 0.3681928217411041, 0.3791821300983429, 0.390812486410141, 0.4025649428367615]","[0.04265185445547104, 0.045297276228666306, 0.04561113938689232, 0.045796096324920654, 0.04593060910701752, 0.04603710025548935]",0.021019138395786285,0.3468043804168701,0.04265185445547104,0.021632716059684753,0.9206805935445104,1.0175289144355424,0.9341185937073773,15,0.05591316121074341,0.056719415043531396
