case_id,edema_center_x,edema_center_y,edema_radius,sigma_fat,sigma_muscle,sigma_edema,delta_sigma_max,edema_elements,best_epoch,best_loss,final_supervised_loss,final_data_loss,final_smoothness_loss,pred_delta_min,pred_delta_max,pred_delta_mean
case_012,0.1564365029335022,0.9215623736381531,0.0712070899021831,0.02005653206343189,0.3251341046574958,0.043142343819900154,0.023085811756468264,40,8423,0.0013127510901540518,8.529357842235186e-07,0.0012026093900203705,7.623026476721861e-07,0.0,0.023085812106728554,0.00014774902956560254
case_013,0.09296103566884995,0.8847927451133728,0.08195335778876928,0.022722979577440506,0.3336343065779248,0.04782618346199431,0.025103203884553806,52,3162,0.001361745991744101,6.687984068776132e-07,0.0012639755150303245,1.1732083748938749e-06,0.0,0.02510320395231247,0.00019581132801249623
case_014,-0.07675889879465103,0.8749825358390808,0.064000157912312,0.020509595827747848,0.34007104470702876,0.041870808924418516,0.02136121309667067,30,1124,0.001182538690045476,2.203918029408669e-06,0.0010203730780631304,5.938318281550892e-07,0.0,0.02136119455099106,0.0001259802666027099
case_015,-0.1257559061050415,0.9143515825271606,0.09405774489599447,0.02112665319225066,0.34885921633208444,0.04375631349498051,0.022629660302729854,67,8301,0.0010203311685472727,1.1566539797058795e-06,0.0008481073309667408,8.693397717252083e-07,0.0,0.02262965962290764,0.00024339836090803146
case_016,-0.28898799419403076,0.8132966160774231,0.06420849763934627,0.020969827830421884,0.37190399365964527,0.04750875813569216,0.026538930305270273,34,1291,0.002395633840933442,3.0465091640508035e-06,0.002198127331212163,1.0069255722555681e-06,0.0,0.0265389122068882,0.00016096977924462408
case_017,-0.3548676669597626,0.8337082266807556,0.054887180569792415,0.020224120233475397,0.3673769629649813,0.044601986608502495,0.024377866375027098,23,9270,0.0009731572354212403,1.0519274837861303e-06,0.000815367850009352,6.34046841696545e-07,0.0,0.024377865716814995,0.00011474986240500584
case_018,-0.5101818442344666,0.7569417357444763,0.06308604758538175,0.02057780024493262,0.36424977131828157,0.047326675768516895,0.026748875523584275,33,935,0.0004897622275166214,2.2337296741170576e-06,0.00025539007037878036,4.1005469597621413e-07,0.0,0.026736967265605927,0.00016668632451910526
case_019,-0.5318516492843628,0.6569271683692932,0.05644097880163105,0.02237003106321604,0.35018956890572783,0.041259998890259005,0.018889967827042966,23,4255,0.0006051427917554975,2.561072847129253e-07,0.0005680738831870258,4.854166490986245e-07,0.0,0.01888996735215187,7.108767749741673e-05
case_020,-0.6678215861320496,0.5631380677223206,0.07276897408052568,0.020254973057979228,0.3459598309080844,0.042035336716831975,0.021780363658852747,44,1515,0.0020638422574847937,1.2153760735600372e-06,0.0019415136193856597,7.441499292326625e-07,0.0,0.021780362352728844,0.00015609117690473795
case_021,-0.6757140159606934,0.4932345747947693,0.08587778977126861,0.022400028162518234,0.30755066323001945,0.049127032919173017,0.026727004756654783,45,18841,0.0016625773860141635,2.9090033333567522e-12,0.0016624248819425702,1.3978018387206248e-06,0.0,0.02672700397670269,0.00015224107482936233
case_022,-0.7594203352928162,0.40862464904785156,0.065776811068702,0.021941296655687906,0.3393680756161075,0.04894043809477485,0.026999141439086945,32,1841,0.0015619538025930524,1.8854337895390927e-06,0.0013798392610624433,1.193274556499091e-06,0.0,0.02699914202094078,0.0001502113154856488
case_023,-0.8611000776290894,0.40235012769699097,0.08870897507263326,0.02125890358830723,0.3414057233680646,0.04445020314274542,0.023191299554438192,49,6146,0.0010888251708820462,4.097773000921734e-07,0.0010276740649715066,5.749726028625446e-07,0.0,0.02319129928946495,0.0001616329391254112
case_024,-0.893229067325592,0.2088450789451599,0.05328019594953555,0.020417095991593887,0.3436744577606554,0.04147718167021899,0.021060085678625107,21,19805,0.00021497484704013914,8.420346375714871e-07,8.857373177306727e-05,4.904291017737705e-07,0.0,0.02106008492410183,9.596765448804945e-05
case_025,-0.8745688199996948,0.0642966702580452,0.07106541051044643,0.022998776302862282,0.3582680294504007,0.041469668513603064,0.01847089221074078,43,3618,0.0010443923529237509,1.378309116262244e-05,0.0009158544125966728,5.411654342424299e-07,0.0,0.018470892682671547,0.0001323353499174118
case_026,-0.8956554532051086,-0.05102956295013428,0.05390965947910771,0.02345107486978262,0.3609611001003726,0.04335425003540444,0.01990317516562182,22,18472,0.0004500845680013299,1.4539882613462396e-06,0.00023185790632851422,7.754273383397958e-07,0.0,0.01990317553281784,0.00012847887410316616
case_027,-0.9616735577583313,-0.06595418602228165,0.06328130890019747,0.020926246398497453,0.3696509627633296,0.04198147035823816,0.02105522395974071,27,14835,0.00172059063334018,1.1236824803972922e-07,0.0017036583740264177,4.4829474177277007e-07,0.0,0.021055223420262337,7.743504829704762e-05
case_028,-0.8302093148231506,-0.2575138807296753,0.0687257934251192,0.02372337997152162,0.3569053453230726,0.04851713241790673,0.024793752446385108,37,18631,0.001119096763432026,1.746617173808973e-12,0.0011189805809408426,7.845259801797511e-07,0.0,0.024793751537799835,0.00011612045636866242
case_029,-0.8163488507270813,-0.27600380778312683,0.08354132473768669,0.023196854701288346,0.3509929658954078,0.04386291955986339,0.020666064858575046,48,2684,0.0017135260859504342,5.180462494536187e-07,0.0016387853538617492,8.14557949979644e-07,0.0,0.02066606469452381,0.00015129764506127685
case_030,-0.810542106628418,-0.49057266116142273,0.07395988144885483,0.023921977862348627,0.3223859991003866,0.04160482139170337,0.017682843529354744,38,19360,0.0006833639345131814,1.97876516949691e-07,0.0006535862921737134,4.2563354440972034e-07,0.0,0.017682842910289764,9.624465019442141e-05
case_031,-0.6530991196632385,-0.5364072322845459,0.06754817710315225,0.02066431252914412,0.3271020097572065,0.047496643544170596,0.026832331015026474,30,6653,0.0016837210860103369,2.4282828235300258e-05,0.00163272547069937,1.008148728942615e-06,0.0,0.026832330971956253,0.00010508752166060731
case_032,-0.6466902494430542,-0.6350381970405579,0.08012705831678762,0.019861319665916085,0.3216166100399222,0.04168639996007869,0.021825080294162604,53,19982,0.0026419872883707285,1.447136696697271e-06,0.002424711361527443,9.258678232981765e-07,0.0,0.02182508073747158,0.00021281743829604238
case_033,-0.5407260656356812,-0.6951107978820801,0.095291565815423,0.020679012867304253,0.3606804677803939,0.046938664166542216,0.026259651299237963,69,9540,0.0025754855014383793,1.991296358028194e-06,0.0022780599538236856,1.1550130238902057e-06,0.0,0.02625965140759945,0.0003050766244996339
case_034,-0.464478075504303,-0.8338339924812317,0.05361900474733358,0.021124174243836134,0.3392237150839043,0.04646577791487224,0.025341603671036106,21,19549,0.0006319492240436375,3.251232101320056e-07,0.0005831005983054638,5.463978709485673e-07,0.0,0.02534160390496254,8.019299275474623e-05
case_035,-0.4270149767398834,-0.8018305897712708,0.09780507428930682,0.01990938176209953,0.3437534668782241,0.04620577600512976,0.026296394243030232,76,15326,0.003264668630436063,1.2253304930709419e-06,0.0030805720016360283,1.2332753840382793e-06,0.0,0.02629639394581318,0.00029962093685753644
case_036,-0.25735896825790405,-0.9005001187324524,0.08891285996737787,0.02390530217504093,0.3606965422616821,0.044706434413997624,0.020801132238956695,59,4436,0.0009622177458368242,5.62896616429498e-07,0.0008788558188825846,5.83205405746412e-07,0.0,0.020801132544875145,0.00018326709687244147
case_037,-0.12517936527729034,-0.8738394379615784,0.07420196522701716,0.02082361926465231,0.34209233216073565,0.045954142386300106,0.025130523121647798,42,5376,0.001418733038008213,1.970566472664359e-06,0.0011243285844102502,1.011980998555373e-06,0.0,0.02513052336871624,0.00021354075579438359
case_038,-0.01431469339877367,-0.8595783710479736,0.06450329733495949,0.021446409790991605,0.3349599818733987,0.04636737923021977,0.024920969439228162,31,2695,0.0019104441162198782,1.4298420865088701e-06,0.0017835303442552686,9.879233857645886e-07,0.0,0.02492097020149231,0.00012859806884080172
case_039,0.011180593632161617,-0.845068097114563,0.05517175380506484,0.020841314397189357,0.35672897105655443,0.0478491188708152,0.027007804473625843,24,3081,0.0014462247490882874,7.715848369116429e-07,0.0013885205844417214,7.96124027147016e-07,0.0,0.027007805183529854,9.424862946616486e-05
case_040,0.12714053690433502,-0.8708764910697937,0.07924644424196792,0.023852270078944783,0.3172561571459989,0.04306248074104142,0.01921021066209664,49,18640,0.0007001566118560731,1.6828477100716555e-06,0.0005272500566206872,6.925831712578656e-07,0.0,0.019210210070014,0.0002074131480185315
case_041,0.3015439808368683,-0.8053097128868103,0.050388416621785746,0.021199160826589018,0.34030778411751167,0.04837504448011148,0.02717588365352246,22,17639,0.0012553449487313628,7.477837584701774e-07,0.0011430743616074324,1.0056887731479947e-06,0.0,0.02717588283121586,0.00010319343709852546
case_042,0.34522366523742676,-0.7649407982826233,0.06904394166664643,0.0223134236676682,0.3343058449478171,0.04094328707934835,0.01862986341168015,30,3699,0.0009342146804556251,1.3591321135209e-07,0.0009159520850516856,4.6470327674796863e-07,0.0,0.01862986385822296,7.737721898593009e-05
case_043,0.4686744511127472,-0.8279201984405518,0.08983237185385393,0.023467217636669663,0.3095334069196271,0.048823576821162555,0.02535635918449289,53,3261,0.0020560785196721554,9.029951115735457e-07,0.001944078248925507,7.284152729880589e-07,0.0,0.025356359779834747,0.00019867313676513731
case_044,0.5494369268417358,-0.6404533386230469,0.08563476304757839,0.02411011099458101,0.3605377598586044,0.04751529786694196,0.023405186872360952,49,18103,0.0017399885691702366,6.933521490282146e-08,0.0017294402932748199,1.0253887694489094e-06,0.0,0.02340518683195114,0.00014812976587563753
case_045,0.6637362241744995,-0.629154622554779,0.06003081724652298,0.022158699358169602,0.34096715517294823,0.04821814929710302,0.026059449938933416,30,4532,0.0010451696580275893,1.8896255369327264e-06,0.0007637772359885275,7.849977805562958e-07,0.0,0.026059450581669807,0.0001736700942274183
case_046,0.7036453485488892,-0.5225425958633423,0.05011704613437679,0.020972438597003724,0.3155042519448691,0.044800895466213714,0.02382845686920999,20,1843,0.0004909749259240925,1.6492449503857642e-06,0.00029540355899371207,8.288849926429975e-07,0.0,0.02382843941450119,0.00011264031491009519
case_047,0.8499026894569397,-0.4417273700237274,0.054296970847133544,0.02141212677923549,0.3282696983800531,0.04391517671754236,0.02250304993830687,21,19653,0.0009327543084509671,4.486438172079943e-07,0.0008653780678287148,4.30362945280649e-07,0.0,0.022503050044178963,7.977075438247994e-05
case_048,0.8535057306289673,-0.3335382044315338,0.0901564317702856,0.023831931285967986,0.3387019091244054,0.043455250845042204,0.019623319559074218,63,5828,0.0012337444350123405,6.40334690160671e-07,0.0011415390763431787,5.155538929102477e-07,0.0,0.019623318687081337,0.00018788152374327183
case_049,0.8205858469009399,-0.2341415137052536,0.0827680555501689,0.023339324042967142,0.3422251147724704,0.04619625866340859,0.022856934620441447,47,3763,0.001723575871437788,1.9105782484984957e-06,0.0014378568157553673,9.257662441086723e-07,0.0,0.022856933996081352,0.00021999722230248153
case_050,0.9024975299835205,-0.10085596889257431,0.08705747144553129,0.022857111766801393,0.36452889664616084,0.04168892553571389,0.0188318137689125,62,2162,0.0006873290403746068,8.09922823918896e-07,0.0005689823883585632,3.765696305890742e-07,0.0,0.018831809982657433,0.00019570629228837788
